Player,Team,Age,GP,MP,Min,Screen Assists,Screen Assists PTS,,OFF Loose Balls Recovered,DEF Loose Balls Recovered,Loose Balls Recovered,% Loose BallsRecovered OFF,% Loose BallsRecovered DEF,Charges Drawn,Contested 2PT�Shots,Contested 3PT�Shots,Contested Shots
Lindy Waters III,DET,27,46,754.4,16.4,0.3,0.7,1.3,0.1,0.1,0.2,50,50,0.09,1.2,1.1,2.3
Pelle Larsson,MIA,24,47,770.8,16.4,0.3,0.8,1.3,0.1,0.2,0.4,41.2,58.8,0.04,2,1.5,3.5
Quenton Jackson,IND,26,22,360.8,16.4,0.2,0.6,1.9,0.1,0.4,0.4,11.1,88.9,0,0.9,1.4,2.4
Josh Okogie,CHA,26,37,603.1,16.3,0.2,0.4,2.2,0.3,0.3,0.6,43.5,56.5,0,1.2,0.8,2
Quinten Post,GSW,25,42,684.6,16.3,0.8,2.1,0.8,0.1,0.1,0.3,54.5,45.5,0,4.4,1.3,5.7
Andre Jackson Jr.,MIL,23,58,939.6,16.2,0.4,1.1,1.2,0.2,0.1,0.4,63.6,36.4,0,1.1,0.7,1.8
Mouhamed Gueye,ATL,22,32,518.4,16.2,0.8,1.9,1.3,0.2,0.2,0.4,46.2,53.8,0.03,3.3,1.3,4.7
Wendell Moore Jr.,CHA,23,30,486,16.2,0.1,0.2,1.6,0.1,0.1,0.2,57.1,42.9,0,0.8,0.6,1.4
Jarred Vanderbilt,LAL,26,36,579.6,16.1,1.1,2.7,2.1,0.3,0.2,0.5,64.7,35.3,0,1.7,0.7,2.4
Dariq Whitehead,BKN,20,15,240,16,0.2,0.5,0.6,0,0.1,0.1,0,100,0,0.6,1.4,2
Landry Shamet,NYK,28,47,752,16,0.2,0.5,1.1,0,0.2,0.3,8.3,91.7,0.02,1.8,1.1,2.9
Ronald Holland II,DET,19,76,1216,16,0.3,0.7,1.3,0.3,0.2,0.5,60.5,39.5,0,0.8,0.8,1.6
Ryan Rollins,MIL,22,50,795,15.9,0.1,0.2,1.8,0.1,0.3,0.4,30,70,0,1.3,1,2.3
Tristan Vukcevic,WAS,22,31,489.8,15.8,1.3,2.9,1.2,0.2,0,0.2,100,0,0.13,3.5,1.4,4.9
Colby Jones,WAS,23,32,502.4,15.7,0.3,0.6,1.6,0.2,0.1,0.3,55.6,44.4,0.03,1.6,1,2.5
D.J. Carton,TOR,24,1,15.7,15.7,0,0,4,0,0,0,0,0,0,0,0,0
Daeqwon Plowden,ATL,26,4,62.8,15.7,0,0,0.3,0,0.3,0.3,0,100,0,1,1.5,2.5
Elijah Harkless,UTA,25,8,125.6,15.7,0.3,0.6,2,0.3,0.3,0.5,50,50,0.13,1.1,1.3,2.4
Collin Gillespie,PHX,25,29,452.4,15.6,0.1,0.1,1.8,0.3,0.3,0.6,50,50,0.03,0.6,0.9,1.6
Jalen Smith,CHI,25,61,951.6,15.6,1.3,2.9,0.4,0.1,0.1,0.3,50,50,0.05,3,1,4.1
Cameron Payne,NYK,30,68,1054,15.5,0.1,0.3,1.6,0.1,0.1,0.2,28.6,71.4,0.18,0.8,0.7,1.5
Zach Collins,CHI,27,63,976.5,15.5,2.1,4.6,0.9,0.2,0.1,0.3,65,35,0.03,4.2,1.3,5.5
Jonathan Isaac,ORL,27,70,1078,15.4,0.6,1.5,1.7,0.2,0.1,0.3,62.5,37.5,0,3.1,0.9,4.1
Neemias Queta,BOS,25,56,851.2,15.2,2.3,5.9,0.6,0.1,0.1,0.2,66.7,33.3,0,3.5,1.3,4.8
Pat Connaughton,MIL,32,39,592.8,15.2,0.3,0.6,0.6,0.2,0.1,0.3,63.6,36.4,0,1,1.5,2.5
Gary Harris,ORL,30,44,664.4,15.1,0.4,0.9,1.6,0.2,0.1,0.4,62.5,37.5,0,0.6,0.8,1.4
Gary Payton II,GSW,32,61,921.1,15.1,0.6,1.4,2.1,0.3,0.3,0.5,51.6,48.4,0,1,0.8,1.8
Marcus Sasser,DET,24,51,770.1,15.1,0.1,0.3,1.5,0.2,0.2,0.4,55,45,0,0.8,0.8,1.6
Caleb Houstan,ORL,22,49,735,15,0.5,1,0.7,0.1,0.1,0.2,50,50,0,1.3,0.7,2
John Konchar,MEM,29,35,525,15,0.1,0.3,1.6,0.2,0.2,0.4,42.9,57.1,0.03,1.3,1.3,2.6
Kevon Looney,GSW,29,76,1140,15,2.5,6.1,1.1,0.3,0.2,0.5,60,40,0,4.1,1.4,5.5
Jabari Walker,POR,22,47,700.3,14.9,0.8,1.9,1,0.2,0.2,0.4,45,55,0.02,0.9,1.2,2.1
Jamal Cain,NOP,26,33,491.7,14.9,0.3,0.7,1.5,0.2,0.1,0.4,58.3,41.7,0,1.3,1.1,2.4
Isaiah Wong,CHA,24,17,251.6,14.8,0.2,0.3,1.5,0.3,0.2,0.6,60,40,0.06,0.7,0.9,1.6
Jamaree Bouyea,MIL,25,4,59.2,14.8,0.3,0.8,2,0.5,0,0.5,100,0,0,1.3,1.3,2.5
Jordan Miller,LAC,25,25,370,14.8,0.2,0.4,1.1,0.1,0,0.1,66.7,33.3,0,0.8,1.2,2.1
Julian Phillips,CHI,21,73,1080.4,14.8,0.2,0.6,1,0.1,0.2,0.3,39.1,60.9,0,1.2,1,2.3
Thomas Bryant,IND,27,65,962,14.8,1.6,3.5,0.9,0.1,0.1,0.2,61.5,38.5,0.02,3.2,0.6,3.9
Jaylen Clark,MIN,23,35,507.5,14.5,0.2,0.5,2,0.1,0.2,0.3,36.4,63.6,0.03,1.6,0.9,2.5
Alex Reese,PHI,26,15,216,14.4,1.1,2.5,1,0.1,0.1,0.2,66.7,33.3,0.13,3.3,2,5.3
Gui Santos,GSW,22,52,748.8,14.4,0.3,0.7,1.2,0.2,0.2,0.5,50,50,0,1.7,1.4,3.1
Maxwell Lewis,BKN,22,22,316.8,14.4,0.1,0.1,1.2,0.1,0,0.1,100,0,0,1,1,2
Reece Beekman,BKN,23,32,457.6,14.3,0,0.1,2.1,0.2,0.1,0.3,55.6,44.4,0,0.4,0.6,1
Cam Spencer,MEM,25,16,227.2,14.2,0.1,0.3,0.8,0.1,0.1,0.3,50,50,0.06,0.4,0.8,1.2
Steven Adams,HOU,31,56,795.2,14.2,2.5,5.7,0.7,0.4,0.2,0.5,70,30,0,3.2,0.9,4
TyTy Washington Jr.,PHX,23,7,99.4,14.2,0,0,1.4,0.1,0.6,0.7,20,80,0,0.7,0.9,1.6
Baylor Scheierman,BOS,24,26,366.6,14.1,0.1,0.3,1.5,0.1,0,0.1,75,25,0.04,0.8,0.8,1.6
JT Thor,WAS,22,17,239.7,14.1,0.3,0.7,0.9,0.1,0.1,0.2,33.3,66.7,0,1.6,1.2,2.8
Talen Horton-Tucker,CHI,24,50,705,14.1,0.1,0.3,1.1,0.1,0.1,0.2,66.7,33.3,0.04,0.9,1.5,2.4
Bol Bol,PHX,25,31,434,14,0.3,0.7,0.4,0.1,0.1,0.2,57.1,42.9,0,1.6,2.3,3.9
Dalen Terry,CHI,22,67,938,14,0.2,0.4,1.5,0.2,0.1,0.3,65.2,34.8,0.01,1.5,1.2,2.6
Nae'Qwan Tomlin,CLE,24,4,56,14,0.5,1.5,0.3,0.3,0,0.3,100,0,0,1.8,0.8,2.5
Vlatko Čančar,DEN,28,9,126,14,0.2,0.6,0.7,0,0,0,0,0,0,1.7,1.3,3
Malachi Flynn,CHA,27,3,41.7,13.9,0,0,2,0,0.3,0.3,0,100,0,2,1,3
Dario Šarić,DEN,31,15,207,13.8,1.3,3.1,0.9,0.3,0.3,0.5,50,50,0,3.1,0.9,3.9
Blake Wesley,SAS,22,47,643.9,13.7,0.1,0.2,1.4,0.1,0.1,0.3,53.8,46.2,0,0.6,0.7,1.3
Aaron Holiday,HOU,28,57,775.2,13.6,0.1,0.2,0.9,0.2,0.1,0.3,72.2,27.8,0.02,1,1,1.9
Cory Joseph,ORL,33,44,594,13.5,0.4,0.9,1,0.1,0.2,0.3,38.5,61.5,0.02,1.1,0.9,2
David Roddy,HOU,24,30,405,13.5,0.3,0.8,0.7,0.1,0.1,0.2,42.9,57.1,0,1.5,1.1,2.6
Pete Nance,MIL,25,10,134,13.4,1.8,4.3,0.6,0.1,0,0.1,100,0,0,2.6,1.5,4.1
Monte Morris,PHX,29,39,518.7,13.3,0.2,0.5,0.7,0.1,0.1,0.2,25,75,0,0.6,0.7,1.2
Jericho Sims,MIL,26,47,620.4,13.2,2.1,4.9,0.5,0.1,0.1,0.3,58.3,41.7,0,2.8,1,3.9
Kai Jones,DAL,24,35,458.5,13.1,1.6,3.4,1.3,0.2,0.1,0.3,63.6,36.4,0,2.5,0.7,3.3
Markieff Morris,LAL,35,11,144.1,13.1,0.6,1.7,0.6,0,0.1,0.1,0,100,0,1.2,0.8,2
Reggie Jackson,PHI,35,28,366.8,13.1,0.2,0.4,0.9,0.1,0.1,0.3,57.1,42.9,0.04,1.1,1.2,2.3
Rob Dillingham,MIN,20,36,471.6,13.1,0.1,0.3,1,0.1,0.1,0.3,50,50,0,0.7,0.7,1.4
Jett Howard,ORL,21,49,637,13,0.1,0.3,0.4,0.1,0.1,0.2,60,40,0,1.2,0.9,2.2
Jeff Green,HOU,38,30,387,12.9,0.8,1.9,0.5,0,0.1,0.2,20,80,0.03,1.4,1,2.3
Mo Bamba,NOP,27,32,412.8,12.9,1.1,2.5,0.7,0.2,0.2,0.3,50,50,0,2.9,1.3,4.2
Reed Sheppard,HOU,20,50,645,12.9,0.1,0.3,2,0,0.2,0.2,16.7,83.3,0,0.9,0.9,1.8
Drew Eubanks,LAC,28,58,742.4,12.8,1.6,4,0.7,0.1,0,0.2,77.8,22.2,0.02,2.6,1,3.6
Jay Huff,MEM,27,58,742.4,12.8,0.3,0.7,0.4,0.1,0,0.1,71.4,28.6,0,4,1.7,5.7
Olivier-Maxence Prosper,DAL,22,43,550.4,12.8,0.3,0.7,0.6,0.2,0.2,0.4,43.8,56.3,0,1.8,0.9,2.7
N'Faly Dante,HOU,23,4,50.8,12.7,1.8,4.3,1,0,0,0,0,0,0,2.8,0.8,3.5
Kylor Kelley,NOP,27,10,125,12.5,0.7,1.5,0.2,0,0.1,0.1,0,100,0,3.1,2.9,6
Torrey Craig,BOS,34,25,312.5,12.5,0.5,1.2,1.1,0.2,0.2,0.4,55.6,44.4,0.04,1,1.2,2.2
Jock Landale,HOU,29,40,496,12.4,2.1,4.9,0.5,0.2,0.1,0.3,70,30,0.03,2.7,0.7,3.4
Kobe Bufkin,ATL,21,10,124,12.4,0,0,1.1,0.2,0.3,0.5,40,60,0,0.7,1.2,1.9
DeAndre Jordan,DEN,36,56,688.8,12.3,1.9,4.4,0.5,0.1,0.1,0.2,72.7,27.3,0,1.8,0.6,2.4
Jae Crowder,SAC,34,7,86.1,12.3,0.1,0.3,0.7,0,0.3,0.3,0,100,0,0.3,1.4,1.7
Jae'Sean Tate,HOU,29,47,578.1,12.3,0.5,1.2,1.3,0.2,0.1,0.3,66.7,33.3,0.17,0.9,1.2,2.1
Sandro Mamukelashvili,SAS,26,54,664.2,12.3,0.7,1.6,0.8,0.3,0.2,0.4,60.9,39.1,0,2.4,1.2,3.6
Ousmane Dieng,OKC,22,32,390.4,12.2,0.3,0.6,0.7,0.1,0.2,0.3,40,60,0,1.8,1.2,3
Patty Mills,LAC,36,25,305,12.2,0.4,1.1,0.8,0.1,0.2,0.3,37.5,62.5,0.16,0.3,0.5,0.8
Malaki Branham,SAS,22,30,363,12.1,0,0.1,0.5,0.1,0.1,0.2,42.9,57.1,0,0.8,0.8,1.6
Terrence Shannon Jr.,MIN,24,27,324,12,0.3,0.6,0.8,0,0.3,0.3,0,100,0,0.9,1.1,2
Zeke Nnaji,DEN,24,49,578.2,11.8,0.7,1.7,0.8,0.1,0.1,0.2,36.4,63.6,0.02,2.4,1.4,3.8
Craig Porter Jr.,CLE,25,41,479.7,11.7,0.4,0.8,1.1,0.2,0.1,0.3,72.7,27.3,0,1.1,0.9,2
Devin Carter,SAC,23,33,386.1,11.7,0,0,1.1,0.2,0.1,0.3,70,30,0.06,0.8,0.9,1.7
Jackson Rowe,GSW,28,4,46.8,11.7,0.3,0.5,1.5,0,0,0,0,0,0,1,0.5,1.5
Jaden Springer,UTA,22,28,327.6,11.7,0.1,0.3,1.6,0.1,0.2,0.3,37.5,62.5,0,0.4,0.5,0.9
Jaylon Tyson,CLE,22,36,421.2,11.7,0.2,0.5,0.7,0.1,0.1,0.2,57.1,42.9,0.03,1.3,1.2,2.5
Miles Norris,BOS,25,3,34.8,11.6,0,0,1,0,0.7,0.7,0,100,0,1.7,1,2.7
Charles Bassey,SAS,24,32,368,11.5,1.2,2.7,0.9,0.1,0.2,0.2,28.6,71.4,0,2.9,1,3.9
Dominick Barlow,ATL,22,32,368,11.5,1.5,3.3,0.9,0.1,0.2,0.3,40,60,0,3,1.1,4.1
Duop Reath,POR,28,39,448.5,11.5,1,2.4,0.5,0.1,0.1,0.2,57.1,42.9,0,3,1.1,4.2
Phillip Wheeler,PHI,23,3,34.5,11.5,0,0,0.7,0,0,0,0,0,0,1,1.3,2.3
Taj Gibson,CHA,39,35,402.5,11.5,1.5,3.5,0.5,0.2,0.1,0.3,72.7,27.3,0.03,2.5,1,3.5
Lamar Stevens,MEM,27,12,136.8,11.4,0.3,0.8,0.8,0.2,0.1,0.3,66.7,33.3,0,1.4,1.2,2.6
Tyler Kolek,NYK,24,22,250.8,11.4,0.1,0.1,0.9,0.1,0.1,0.2,75,25,0.05,0.8,0.6,1.4
Dillon Jones,OKC,23,47,531.1,11.3,0.3,0.6,1,0.1,0.1,0.3,41.7,58.3,0,0.7,0.6,1.3
Dwight Powell,DAL,33,48,542.4,11.3,1.6,3.5,0.9,0.1,0.1,0.2,70,30,0.06,3,1.1,4
Kevin Love,MIA,36,21,237.3,11.3,0.8,1.8,1.4,0.1,0.2,0.3,28.6,71.4,0.1,1,0.5,1.5
Trey Jemison III,LAL,25,34,384.2,11.3,1.3,2.9,0.7,0.3,0.1,0.3,81.8,18.2,0,2.4,1.3,3.6
Jevon Carter,CHI,29,26,283.4,10.9,0.2,0.4,0.7,0.1,0,0.1,75,25,0,0.3,1,1.4
Sidy Cissoko,POR,21,7,76.3,10.9,0.1,0.3,0.6,0.3,0.3,0.6,50,50,0,0.6,0.6,1.1
Rayan Rupert,POR,21,38,410.4,10.8,0.1,0.3,1.1,0.1,0.1,0.2,66.7,33.3,0.05,0.9,0.6,1.5
Bones Hyland,MIN,24,21,224.7,10.7,0.1,0.1,1.2,0.1,0.1,0.2,60,40,0,0.4,0.6,0.9
Garrett Temple,TOR,39,19,203.3,10.7,0.2,0.5,2,0.1,0.1,0.2,50,50,0.05,0.9,0.7,1.6
Bruno Fernando,TOR,26,13,136.5,10.5,1.6,3.6,0.6,0.1,0.1,0.2,33.3,66.7,0,1.9,1.3,3.1
Moses Brown,DAL,25,11,114.4,10.4,0.6,1.4,1,0.1,0,0.1,100,0,0,3.9,1,4.9
Emoni Bates,CLE,21,6,61.8,10.3,0.5,1.3,0.3,0.2,0,0.2,100,0,0,1,0.3,1.3
Nate Williams,HOU,26,12,123.6,10.3,0.3,0.6,1.3,0,0.3,0.3,0,100,0,1,0.6,1.6
Luke Travers,CLE,23,8,80.8,10.1,0.3,0.6,0.6,0,0,0,0,0,0,1.9,0.4,2.3
Marvin Bagley III,MEM,26,24,240,10,0.9,1.8,0.4,0.2,0,0.3,83.3,16.7,0.04,2,1.7,3.7
RayJ Dennis,IND,24,6,60,10,0.2,0.3,1.3,0.2,0.5,0.7,25,75,0,0.7,1,1.7
Paul Reed,DET,25,44,435.6,9.9,1.6,3.8,1.8,0.2,0.2,0.3,50,50,0.02,2.7,0.7,3.4
Taze Moore,POR,26,2,19.8,9.9,0,0,2.5,0,0,0,0,0,0,0.5,0,0.5
Johnny Furphy,IND,20,36,352.8,9.8,0.2,0.4,1.1,0.1,0.1,0.3,50,50,0.03,1.1,0.9,2
Tony Bradley,IND,27,11,107.8,9.8,1.4,3.3,0.9,0.1,0.1,0.2,50,50,0,2.9,0.7,3.6
Adam Flagler,OKC,25,16,155.2,9.7,0.3,0.6,0.7,0,0.4,0.4,0,100,0,0.3,1.1,1.4
Anthony Gill,WAS,32,39,378.3,9.7,0.2,0.4,0.5,0.2,0.1,0.3,63.6,36.4,0,1,1.1,2.1
Branden Carlson,OKC,25,24,232.8,9.7,0.8,1.9,0.3,0.2,0.1,0.3,71.4,28.6,0,2.5,1.1,3.6
Bronny James,LAL,20,15,145.5,9.7,0,0,0.9,0,0.2,0.2,0,100,0,0.9,0.7,1.6
Christian Koloko,LAL,24,35,339.5,9.7,1,2.3,0.6,0.1,0.1,0.3,44.4,55.6,0,2.7,0.9,3.6
Doug McDermott,SAC,33,31,297.6,9.6,0.2,0.5,0.3,0,0,0,0,0,0,0.9,0.9,1.8
Justin Minaya,POR,26,8,76.8,9.6,0.1,0.4,1.4,0,0.1,0.1,0,100,0,1.1,0.8,1.9
Enrique Freeman,IND,24,18,171,9.5,0.6,1.2,0.4,0.1,0,0.1,100,0,0,1.5,1.1,2.6
Jordan Walsh,BOS,21,38,361,9.5,0.1,0.4,0.5,0.2,0.1,0.3,66.7,33.3,0.03,1.1,0.7,1.8
Alex Len,LAL,31,39,366.6,9.4,1.3,3.2,0.5,0.2,0.1,0.3,53.8,46.2,0,2.6,1,3.6
Ariel Hukporti,NYK,23,23,213.9,9.3,1.4,3.1,0.5,0.2,0.1,0.3,57.1,42.9,0,2.9,1.1,4
Hunter Tyson,DEN,24,40,372,9.3,0.2,0.5,0.5,0.1,0.2,0.3,36.4,63.6,0.03,1,1,2
Markelle Fultz,SAC,27,19,176.7,9.3,0.2,0.3,0.9,0.1,0.2,0.2,25,75,0,0.6,0.5,1.1
Drew Peterson,BOS,25,19,174.8,9.2,0.2,0.4,0.9,0,0.2,0.2,0,100,0,0.5,0.5,1
Johnny Davis,WAS,23,20,184,9.2,0.2,0.5,1.4,0.1,0.3,0.4,25,75,0,0.6,0.6,1.1
Kobe Brown,LAC,25,27,245.7,9.1,0.4,0.9,0.5,0.3,0.2,0.5,57.1,42.9,0,0.9,0.6,1.5
Isaac Jones,SAC,24,33,290.4,8.8,0.7,1.6,0.6,0.1,0,0.1,80,20,0,2,0.8,2.8
Kevin McCullar Jr.,NYK,24,3,26.1,8.7,0,0,0.7,0,0.7,0.7,0,100,0,1.7,0.3,2
Spencer Jones,DEN,23,13,111.8,8.6,0.1,0.4,0.8,0.3,0,0.3,100,0,0,0.7,0.8,1.5
Tristan Thompson,CLE,34,37,318.2,8.6,1.2,2.8,0.3,0,0.1,0.1,20,80,0,1.8,0.8,2.6
Pat Spencer,GSW,28,25,212.5,8.5,0.2,0.7,1,0.2,0,0.2,100,0,0,0.7,0.4,1.1
Cam Christie,LAC,19,5,41.5,8.3,0.2,0.6,0.8,0.2,0,0.2,100,0,0,0.6,0.2,0.8
Joe Ingles,MIN,37,13,107.9,8.3,0.4,0.8,0.5,0.1,0.1,0.2,33.3,66.7,0,0.2,0.5,0.8
Jordan McLaughlin,SAS,29,34,278.8,8.2,0.2,0.4,0.8,0.1,0.2,0.4,38.5,61.5,0.06,0.5,0.5,0.9
Quincy Olivari,LAL,24,1,8.2,8.2,0,0,0,0,0,0,0,0,0,0,1,1
Xavier Tillman,BOS,26,25,205,8.2,0.5,1.4,0.7,0.1,0.1,0.2,40,60,0,1.4,1.1,2.5
Yuri Collins,GSW,24,2,16.4,8.2,0,0,0.5,0.5,0.5,1,50,50,0,0,0,0
Armel Traor�,LAL,22,7,55.3,7.9,0,0,1.3,0,0,0,0,0,0,0.7,0.6,1.3
Terence Davis,SAC,28,1,7.9,7.9,0,0,0,0,0,0,0,0,0,0,1,1
Pacome Dadiet,NYK,19,13,101.4,7.8,0,0,0.3,0.2,0,0.2,100,0,0,1,0.4,1.4
Keshad Johnson,MIA,23,11,84.7,7.7,0.3,0.6,0.5,0.1,0.2,0.3,33.3,66.7,0,1.4,0.6,2
Kevin Knox II,GSW,25,9,69.3,7.7,0,0,0.6,0,0,0,0,0,0,1,0.9,1.9
Mason Jones,SAC,26,3,22.5,7.5,0,0,1,0.3,0,0.3,100,0,0,1.7,0.3,2
JD Davison,BOS,22,10,74,7.4,0.1,0.3,0.8,0,0.1,0.1,0,100,0,0.3,0.3,0.6
Josh Minott,MIN,22,35,259,7.4,0.1,0.2,0.9,0,0.1,0.1,20,80,0,0.8,0.9,1.7
Tyler Smith,MIL,20,14,103.6,7.4,0.3,0.7,0.6,0.1,0.1,0.2,66.7,33.3,0.07,0.8,0.9,1.6
Adama Sanogo,CHI,23,3,21,7,1.7,4,0.3,0,0,0,0,0,0,1.3,1.7,3
Harrison Ingram,SAS,22,5,35,7,0.4,1.2,2.6,0,0.2,0.2,0,100,0,0.8,0.4,1.2
Yuki Kawamura,MEM,24,10,69,6.9,0,0,0.6,0,0.1,0.1,0,100,0,0.2,0.6,0.8
Bobi Klintman,DET,22,5,34,6.8,0.2,0.4,0.4,0.2,0,0.2,100,0,0,0.8,0.2,1
Jack McVeigh,HOU,28,5,34,6.8,0.2,0.4,0,0,0.2,0.2,0,100,0,1.6,0.8,2.4
Riley Minix,SAS,24,1,6.8,6.8,0,0,0,0,0,0,0,0,0,1,1,2
Braxton Key,GSW,28,1,6.7,6.7,0,0,2,0,0,0,0,0,0,0,1,1
Trey Alexander,DEN,22,14,93.8,6.7,0,0,0.6,0.1,0.1,0.1,50,50,0,0.8,0.4,1.2
Damion Lee,PHX,32,14,92.4,6.6,0.1,0.2,0.4,0.1,0,0.1,100,0,0,0.1,0.8,0.9
David Duke Jr.,SAS,25,4,26.4,6.6,0,0,0.3,0.3,0.5,0.8,33.3,66.7,0,0,0.3,0.3
Alex Ducas,OKC,24,15,97.5,6.5,0.1,0.1,0.5,0.1,0.1,0.2,66.7,33.3,0,0.4,0.1,0.5
Jacob Toppin,ATL,25,9,58.5,6.5,0.1,0.2,0.6,0,0,0,0,0,0,0.8,0.7,1.4
Jazian Gortman,DAL,22,6,39,6.5,0.2,0.3,0.7,0.2,0,0.2,100,0,0,0.7,0.5,1.2
Chris Livingston,MIL,21,14,89.6,6.4,0.3,0.7,1.1,0,0.2,0.2,0,100,0,1,0.1,1.1
Trentyn Flowers,LAC,20,1,6.4,6.4,0,0,1,0,0,0,0,0,0,1,0,1
Luka Garza,MIN,26,33,207.9,6.3,0.8,1.9,0.7,0.1,0.1,0.2,71.4,28.6,0.12,1.5,0.6,2.1
Chris Duarte,CHI,27,9,55.8,6.2,0,0,0.3,0.2,0,0.2,100,0,0,1,0.8,1.8
Jalen McDaniels,WAS,27,1,6.2,6.2,0,0,1,0,0,0,0,0,0,3,2,5
MarJon Beauchamp,NYK,24,22,129.8,5.9,0,0,0.5,0.1,0.2,0.3,42.9,57.1,0.05,0.4,0.4,0.8
E.J. Liddell,CHI,24,8,46.4,5.8,0.4,0.9,0.3,0.1,0,0.1,100,0,0,1.3,0.4,1.6
Emanuel Miller,CHI,24,3,17.4,5.8,0,0,0.3,0,0,0,0,0,0,0.3,0.7,1
Patrick Baldwin Jr.,LAC,22,14,78.4,5.6,0.2,0.4,0.5,0,0,0,0,0,0,0.4,0.1,0.6
Jahmir Young,CHI,24,3,16.2,5.4,0,0,0.3,0,0,0,0,0,0,0.3,1,1.3
Mac McClung,ORL,26,1,5.4,5.4,0,0,1,0,0,0,0,0,0,0,0,0
Matt Ryan,NYK,28,7,37.1,5.3,0.1,0.3,0.4,0,0.1,0.1,0,100,0.14,0.4,0.7,1.1
Daniss Jenkins,DET,23,3,15.6,5.2,0,0,0.3,0,0,0,0,0,0,0.3,0.7,1
Ulrich Chomche,TOR,19,6,31.2,5.2,0.7,1.3,0.2,0.2,0,0.2,100,0,0,1.5,0.3,1.8
Skal Labissiere,SAC,29,2,10,5,1,3,0,0.5,0,0.5,100,0,0,0.5,0.5,1
Stanley Umude,MIL,26,17,79.9,4.7,0,0,0.5,0.1,0.1,0.2,33.3,66.7,0,0.7,0.5,1.2
James Wiseman,IND,24,1,4.6,4.6,0,0,0,0,0,0,0,0,0,2,0,2
Liam Robbins,MIL,25,11,50.6,4.6,0.5,1.1,0.4,0,0,0,0,0,0,0.9,0.5,1.4
PJ Dozier,MIN,28,5,23,4.6,0,0,0.8,0,0,0,0,0,0,0.4,0.4,0.8
PJ Hall,DEN,23,14,54.6,3.9,0.3,0.6,0.1,0.1,0,0.1,100,0,0,0.6,0.7,1.4
Malevy Leons,OKC,25,2,7.6,3.8,0,0,0,0,0,0,0,0,0,0,1,1
Isaiah Crawford,SAC,23,8,29.6,3.7,0.1,0.3,0.5,0,0,0,0,0,0,0.6,0.1,0.8
Daishen Nix,MIN,23,2,6.8,3.4,0.5,1,0,0,0,0,0,0,0,0,0.5,0.5
Jahlil Okafor,IND,29,1,3.4,3.4,0,0,0,0,1,1,0,100,0,1,1,2
Jalen Bridges,PHX,24,4,13.6,3.4,0.3,0.5,0.3,0,0,0,0,0,0,0,0,0
James Johnson,IND,38,5,17,3.4,0.2,0.4,0,0,0,0,0,0,0,0.6,0.6,1.2
Anton Watson,NYK,24,5,15.5,3.1,1.2,3,0.2,0,0,0,0,0,0,0.6,0.2,0.8
Jesse Edwards,MIN,25,1,3.1,3.1,0,0,0,1,0,1,100,0,0,0,0,0
Leonard Miller,MIN,21,6,17.4,2.9,0,0,0.3,0,0,0,0,0,0,0.3,0.3,0.7
Tristen Newton,MIN,24,3,8.4,2.8,0,0,1,0,0,0,0,0,0,0,0.7,0.7
Bryce McGowens,POR,22,6,13.8,2.3,0,0,0.2,0,0,0,0,0,0,0.2,0.8,1
Isaiah Stevens,MIA,24,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0
Cui Yongxi,BKN,22,1,1.3,1.3,0,0,1,0,0,0,0,0,0,0,0,0
Zyon Pullin,MEM,24,1,0.8,0.8,0,0,0,0,0,0,0,0,0,1,0,1
